Flip Percentage,Male Mean,Male SE,Female Mean,Female SE,Overall Mean,Overall SE
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.04512000000000001,0.004028366087303056,0.022560000000000004,0.002014183043651528
10.0,0.0,0.0,0.08674000000000001,0.005819511243318558,0.043370000000000006,0.002909755621659279
15.0,0.0,0.0,0.13065,0.007957990394007214,0.065325,0.003978995197003607
20.0,0.0,0.0,0.17053000000000001,0.007083643914759626,0.08526500000000001,0.003541821957379813
25.0,0.0,0.0,0.2062,0.009081091466460528,0.1031,0.004540545733230264
30.0,0.0,0.0,0.24575999999999998,0.010279507121777125,0.12287999999999999,0.0051397535608885625
35.0,0.0,0.0,0.28763000000000005,0.009847154693390146,0.14381500000000003,0.004923577346695073
40.0,0.0,0.0,0.32843,0.009215181314910012,0.164215,0.004607590657455006
45.0,0.0,0.0,0.36865000000000003,0.010033380398560708,0.18432500000000002,0.005016690199280354
50.0,0.0,0.0,0.40747,0.01008961016756016,0.203735,0.00504480508378008
55.00000000000001,0.0,0.0,0.4502,0.00923735171283776,0.2251,0.00461867585641888
60.0,0.0,0.0,0.49957,0.009483026357070242,0.249785,0.004741513178535121
65.0,0.0,0.0,0.5439499999999999,0.008162451293031475,0.27197499999999997,0.004081225646515738
70.0,0.0,0.0,0.5911200000000001,0.008889229437920927,0.29556000000000004,0.004444614718960464
