Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0008999999845400453,0.0691,0.1384
5.0,0.0008999999845400453,0.0691,0.1384
10.0,0.0008999999845400453,0.0691,0.1384
15.0,0.0008999999845400453,0.0691,0.1384
20.0,0.0008999999845400453,0.0691,0.1384
25.0,0.0008999999845400453,0.0691,0.1384
30.0,0.0008999999845400453,0.0691,0.1384
35.0,0.0008999999845400453,0.0691,0.1384
40.0,0.0008999999845400453,0.0691,0.1384
45.0,0.0008999999845400453,0.0691,0.1384
50.0,0.0008999999845400453,0.0691,0.1384
55.00000000000001,0.0008999999845400453,0.0691,0.1384
60.0,0.0008999999845400453,0.0691,0.1384
65.0,0.0008999999845400453,0.0691,0.1384
70.0,0.0008999999845400453,0.0691,0.1384
